0 [main] INFO org.apache.hadoop.yarn.client.RMProxy  - Connecting to ResourceManager at ip-172-31-35-205.ec2.internal/172.31.35.205:8032
1710 [main] INFO org.apache.hadoop.mapreduce.lib.input.FileInputFormat  - Total input paths to process : 4
1720 [main] INFO com.hadoop.compression.lzo.GPLNativeCodeLoader  - Loaded native gpl library
1722 [main] INFO com.hadoop.compression.lzo.LzoCodec  - Successfully loaded & initialized native-lzo library [hadoop-lzo rev 60b8618a21bca805756fb1bc393c18c2512e4fc4]
2474 [main] INFO org.apache.hadoop.mapreduce.JobSubmitter  - number of splits:106
2623 [main] INFO org.apache.hadoop.mapreduce.JobSubmitter  - Submitting tokens for job: job_1488089367153_0001
2968 [main] INFO org.apache.hadoop.yarn.client.api.impl.YarnClientImpl  - Submitted application application_1488089367153_0001
3008 [main] INFO org.apache.hadoop.mapreduce.Job  - The url to track the job: http://ip-172-31-35-205.ec2.internal:20888/proxy/application_1488089367153_0001/
3009 [main] INFO org.apache.hadoop.mapreduce.Job  - Running job: job_1488089367153_0001
13346 [main] INFO org.apache.hadoop.mapreduce.Job  - Job job_1488089367153_0001 running in uber mode : false
13347 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 0% reduce 0%
46583 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 1% reduce 0%
58638 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 2% reduce 0%
69683 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 3% reduce 0%
78720 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 4% reduce 0%
88755 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 5% reduce 0%
95792 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 6% reduce 0%
106842 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 7% reduce 0%
115879 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 8% reduce 0%
122911 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 9% reduce 0%
130942 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 10% reduce 0%
136962 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 11% reduce 0%
146000 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 12% reduce 0%
151017 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 13% reduce 0%
159041 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 14% reduce 0%
165072 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 15% reduce 0%
174105 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 16% reduce 0%
182130 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 17% reduce 0%
188153 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 18% reduce 0%
